id_data,id_column,key,en,de,fr,es
data_included_table,asset_type_analysis,Bonds,Corporate Bonds,Unternehmensanleihen,Obligations d'entreprises,Bonos corporativos
data_included_table,asset_type_analysis,Equity,Listed Equity,Aktien,Actions,Acciones
data_included_table,asset_type_analysis,Funds,Funds,Fonds,Fonds,Fondos
data_included_table,asset_type_analysis,Other,Other Asset Classes,Andere Asset-Klassen,Autres classes d'actifs,Otra clase de activos
data_included_table,asset_type_analysis,Unclassified,Unclassified,Nicht klassifiziert,Non classifié,No clasificado
data_included_table,asset_type_analysis,Total,Total,Gesamt,Total,Total
data_included_table,included,Yes,Yes,Ja,Oui,Si
data_included_table,included,No,No,Nein,Non,No
data_included_table,investment_means,Direct,Direct,Direkt,Direct,Directo
data_included_table,investment_means,Via a Fund,Via a Fund,Über einen Fonds,Par le biais d'un fonds,A través de un fondo
data_included_table,investment_means,Unidentified Funds,Unidentified Funds,Nicht identifizierte Fonds,Fonds non identifiés,Fondos no identificados
data_value_pie_equity,key,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
data_value_pie_equity,key,Aviation,Aviation,Luftfahrt,Aviation,Aviación
data_value_pie_equity,key,Cement,Cement,Zement,Ciment,Cement
data_value_pie_equity,key,Coal,Coal,Kohle,Charbon,Carbón
data_value_pie_equity,key,Oil&Gas,Oil & Gas,Öl & Gas,Pétrole et gaz,Petróleo y gas
data_value_pie_equity,key,Power,Power,Energie,Power,Energía
data_value_pie_equity,key,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
data_value_pie_equity,key,Steel,Steel,Stahl,Acier,Acero
data_value_pie_equity,key,Consumer Staples,Consumer Staples,Basiskonsumgüter,Consommation de base,Productos básicos de consumo
data_value_pie_equity,key,Energy,Energy,Energie,Énergie,Energia
data_value_pie_equity,key,Unclassifiable,Unclassifiable,Nicht klassifizierbar,Inclassable,No clasificable
data_value_pie_equity,key,Communications,Communications,Mitteilungen,Communications,Comunicaciones
data_value_pie_equity,key,Consumer Disrectionary,Consumer Disrectionary,Konsumentenverweigerer,Biens non essentiels,Bienes no esenciales
data_value_pie_equity,key,Industrials,Industrials,Industrielle,Industrie,Industriales
data_value_pie_equity,key,Financials,Financials,Finanzen,Finances,Financieros
data_value_pie_equity,key,Utilities,Utilities,Versorgungsunternehmen,Services publics,Servicios públicos
data_value_pie_equity,key,Materials,Materials,Materialien,Matériel,Materiales
data_value_pie_equity,key,Technology,Technology,Technologie,Technologie,Tecnología
data_value_pie_equity,key,Health Care,Health Care,Gesundheitspflege,Soins de santé,Servicios de salud
data_value_pie_bonds,key,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
data_value_pie_bonds,key,Aviation,Aviation,Luftfahrt,Aviation,Aviación
data_value_pie_bonds,key,Cement,Cement,Zement,Ciment,Cement
data_value_pie_bonds,key,Coal,Coal,Kohle,Charbon,Carbón
data_value_pie_bonds,key,Oil&Gas,Oil & Gas,Öl & Gas,Pétrole et gaz,Petróleo y gas
data_value_pie_bonds,key,Power,Power,Energie,Energie,Energía
data_value_pie_bonds,key,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
data_value_pie_bonds,key,Steel,Steel,Stahl,Acier,Acero
data_value_pie_bonds,key,Consumer Staples,Consumer Staples,Basiskonsumgüter,Consommation de base,Productos básicos de consumo
data_value_pie_bonds,key,Energy,Energy,Energie,Énergie,Energia
data_value_pie_bonds,key,Unclassifiable,Unclassifiable,Nicht klassifizierbar,Inclassable,No clasificable
data_value_pie_bonds,key,Communications,Communications,Mitteilungen,Communications,Comunicaciones
data_value_pie_bonds,key,Consumer Disrectionary,Consumer Disrectionary,Konsumentenverweigerer,Biens non essentiels,Bienes no esenciales
data_value_pie_bonds,key,Industrials,Industrials,Industrielle,Industrie,Industriales
data_value_pie_bonds,key,Financials,Financials,Finanzen,Finances,Financieros
data_value_pie_bonds,key,Utilities,Utilities,Versorgungsunternehmen,Services publiques,Servicios públicos
data_value_pie_bonds,key,Materials,Materials,Materialien,Matériel,Materiales
data_value_pie_bonds,key,Technology,Technology,Technologie,Technologie,Tecnología
data_value_pie_bonds,key,Health Care,Health Care,Gesundheitspflege,Soins de santé,Servicios de salud
data_emissions_pie_equity,key,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
data_emissions_pie_equity,key,Aviation,Aviation,Luftfahrt,Aviation,Aviación
data_emissions_pie_equity,key,Cement,Cement,Zement,Ciment,Cement
data_emissions_pie_equity,key,Coal,Coal,Kohle,Charbon,Carbón
data_emissions_pie_equity,key,Oil&Gas,Oil&Gas,Öl&Gas,Pétrole et gaz,Petróleo y gas
data_emissions_pie_equity,key,Power,Power,Energie,Energie,Energía
data_emissions_pie_equity,key,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
data_emissions_pie_equity,key,Steel,Steel,Stahl,Acier,Acero
data_emissions_pie_equity,key,Consumer Staples,Consumer Staples,Basiskonsumgüter,Consommation de base,Productos básicos de consumo
data_emissions_pie_equity,key,Cement&Steel,Cement&Steel,Zement&Stahl,Ciment et acier,Cemento y Acero
data_emissions_pie_equity,key,Communications,Communications,Mitteilungen,Communications,Comunicaciones
data_emissions_pie_equity,key,Consumer Discretionary,Consumer Discretionary,Diskretionäre Verbraucher,Biens non essentiels,Bienes no esenciales
data_emissions_pie_equity,key,Financials,Financials,Finanzen,Finances,Financieros
data_emissions_pie_equity,key,Health Care,Health Care,Gesundheitspflege,Soins de santé,Servicios de salud
data_emissions_pie_equity,key,Other Energy,Other Energy,Andere Energie,Autres énergies,Otros Energía
data_emissions_pie_equity,key,Other Industrials,Other Industrials,Andere Industrielle,Autres secteurs industriels,Otros Industriales
data_emissions_pie_equity,key,Other Materials,Other Materials,Andere Materialien,Autres matériels,Otros Materiales
data_emissions_pie_equity,key,Other Utilities,Other Utilities,Andere Versorgungsunternehmen,Autres services publics,Otros Servicios públicos
data_emissions_pie_equity,key,Technology,Technology,Technologie,Technologie,Tecnología
data_emissions_pie_equity,key,Unclassifiable,Unclassifiable,Nicht klassifizierbar,Inclassable,No clasificable
data_emissions_pie_bonds,key,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
data_emissions_pie_bonds,key,Aviation,Aviation,Luftfahrt,Aviation,Aviación
data_emissions_pie_bonds,key,Cement,Cement,Zement,Ciment,Cement
data_emissions_pie_bonds,key,Coal,Coal,Kohle,Charbon,Carbón
data_emissions_pie_bonds,key,Oil&Gas,Oil & Gas,Öl & Gas,Pétrole et gaz,Petróleo y gas
data_emissions_pie_bonds,key,Power,Power,Energie,Energie,Energía
data_emissions_pie_bonds,key,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
data_emissions_pie_bonds,key,Steel,Steel,Stahl,Acier,Acero
data_emissions_pie_bonds,key,Consumer Staples,Consumer Staples,Basiskonsumgüter,Consommation de base,Productos básicos de consumo
data_emissions_pie_bonds,key,Cement&Steel,Cement & Steel,Zement & Stahl,Ciment et acier,Cemento y Acero
data_emissions_pie_bonds,key,Communications,Communications,Mitteilungen,Communications,Comunicaciones
data_emissions_pie_bonds,key,Consumer Discretionary,Consumer Discretionary,Diskretionäre Verbraucher,Biens non essentiels,Bienes no esenciales
data_emissions_pie_bonds,key,Financials,Financials,Finanzen,Finances,Financieros
data_emissions_pie_bonds,key,Health Care,Health Care,Gesundheitspflege,Soins de santé,Servicios de salud
data_emissions_pie_bonds,key,Other Energy,Other Energy,Andere Energie,Autres énergies,Otros Energía
data_emissions_pie_bonds,key,Other Industrials,Other Industrials,Andere Industrielle,Autres secteurs industriels,Otros Industriales
data_emissions_pie_bonds,key,Other Materials,Other Materials,Andere Materialien,Autres matériels,Otros Materiales
data_emissions_pie_bonds,key,Other Utilities,Other Utilities,Andere Versorgungsunternehmen,Autres services publics,Otros Servicios públicos
data_emissions_pie_bonds,key,Technology,Technology,Technologie,Technologie,Tecnología
data_emissions_pie_bonds,key,Unclassifiable,Unclassifiable,Nicht klassifizierbar,Inclassable,No clasificable
techexposure_data,asset_class,Corporate Bonds,Corporate Bonds,Unternehmensanleihen,Obligations d'entreprises,Bonos corporativos
techexposure_data,asset_class,Listed Equity,Listed Equity,Aktien,Actions,Acciones
techexposure_data,equity_market,Global Market,Global Market,Globaler Markt,Marché mondial,Mercado Global
techexposure_data,equity_market,Developed Market,Developed Market,Entwickelter Markt,Marché développé,Mercado Desarrollado
techexposure_data,equity_market,Emerging Market,Emerging Market,Aufstrebender Markt,Marché émergent,Mercado Emergente
techexposure_data,ald_sector,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
techexposure_data,ald_sector,Coal,Coal,Kohle,Charbon,Carbón
techexposure_data,ald_sector,Oil&Gas,Oil & Gas,Öl & Gas,Pétrole et gaz,Petróleo y gas
techexposure_data,ald_sector,Power,Power,Energie,Energie,Energía
techexposure_data,ald_sector,Steel,Steel,Stahl,Acier,Acero
techexposure_data,ald_sector,Cement,Cement,Zement,Ciment,Cement
techexposure_data,ald_sector,Aviation,Aviation,Luftfahrt,Aviation,Aviación
techexposure_data,ald_sector,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
techexposure_data,technology,RenewablesCap,Renewables,Erneuerbare Energien,Energie renouvelable,Energías Renovables
techexposure_data,technology,HydroCap,Hydropower,Wasserkraft,Energie hydraulique,Energía hidroeléctrica
techexposure_data,technology,NuclearCap,Nuclear Power,Kernenergie,Energie nucléaire,Energía nuclear
techexposure_data,technology,GasCap,Gas Power,Gaskraft,Energie à base de gaz,Energía a base de gas
techexposure_data,technology,OilCap,Oil Power,Öl-Power,Energie à base de pétrole,Energía a base de petróleo
techexposure_data,technology,CoalCap,Coal Power,Kohlekraft,Energie à base de charbon,Energía a base de carbón
techexposure_data,technology,Electric,LDV: Electric,LDV: Elektrische,LDV: Électrique,VL: Vehículos eléctricos
techexposure_data,technology,Hybrid,LDV: Hybrid,LDV: Hybrid,LDV: Hybride,VL: Vehículos híbridos
techexposure_data,technology,ICE,LDV: ICE,LDV: Verbrennungsmotor,LDV: Moteur à combustion,VL: Vehículos de combustión interna
techexposure_data,technology,Oil,Oil,Öl,Extraction de pétrole,Petróleo
techexposure_data,technology,Gas,Gas,Gas,Extraction de gaz,Gas
techexposure_data,technology,FuelCell,LDV: Fuel Cell,LDV: Brennstoffzellen,LDV: Pile à combustible,VL: Vehículos de pilas de combustibles
techexposure_data,technology,Electric_HDV,HDV: Electric,HDV: Elektrisches,HDV: Électrique,VP: Vehículos eléctricos
techexposure_data,technology,FuelCell_HDV,HDV: Fuel Cell,HDV: Brennstoffzellen,HDV: Pile à combustible,VP: Vehículos de pilas de combustibles
techexposure_data,technology,Hybrid_HDV,HDV: Hybrid,HDV: Hybridantrieb,HDV: Hybride,VP: Vehículos híbridos
techexposure_data,technology,ICE_HDV,HDV: ICE,HDV: Verbrennungsmotor,HDV: Moteur à combustion,VP: Vehículos de combustión interna
techexposure_data,technology,Coal,Coal,Kohle,Charbon,Carbón
techexposure_data,technology,Freight,Freight,Fracht,Fret,Carga
techexposure_data,technology,Passenger,Passenger,Passagier,Passager,Pasajero
techexposure_data,technology,Mix,Mix,Mischen,Mix,Mixto
techexposure_data,technology,Other,Other,Andere,Autres,Otro
techexposure_data,technology,Integrated Facility,Integrated Facility,Integrierte Anlage,Facilité intégrée,Sistema integrado
techexposure_data,technology,Grinding,Grinding,Schleifen,Broyage,Triturado
techexposure_data,technology,Ac-Electric Arc Furnace,Ac-Electric Arc Furnace,AC-Elektrolichtbogenofen,AC - Four électrique à arc,Horno de arco eléctrico de CA
techexposure_data,technology,Dc-Electric Arc Furnace,Dc-Electric Arc Furnace,DC-Elektrolichtbogenofen,DC - Four électrique à arc,Horno de arco eléctrico de CC
techexposure_data,technology,Bof Shop,Basic Oxygen Furnace,LD-Verfahren,Procédé LD,Horno de oxígeno básico
techexposure_data,technology,Open Hearth Meltshop,Open hearth furnace,Schmelzbetrieb mit offenem Herd,Procédé Martin-Siemens,Horno a cielo abierto
techexposure_data,portfolio_name,pensionfund,Pension Fund Peer Group,Pensionsfonds Peergroup,Fonds de pensiongrupo de pares,Fondos de pensiones groupe de pairs
techexposure_data,portfolio_name,assetmanager,Asset Manager Peer Group,Vermögensverwalter Peergroup,Gestionnaire d'actifs grupo de pares,Administrador de activos groupe de pairs
techexposure_data,portfolio_name,bank,Banking Peer Group,Bankwesen Peergroup,Banque grupo de pares,Banca groupe de pairs
techexposure_data,portfolio_name,insurance,Insurance Peer Group,Versicherung Peergroup,Assurance grupo de pares,Aseguradoras groupe de pairs
techexposure_data,portfolio_name,Meta Investor,Meta Investor Peer Group,Meta-Investor Peergroup,Méta-investisseur grupo de pares,Meta Inversionista groupe de pairs
techexposure_data,portfolio_name,Others,Others Peer Group,Anderen Peergroup,Autres grupo de pares,Otros groupe de pairs
techexposure_data,portfolio_name,Pension Funds and Insurances,Pension Funds and Insurances Peer Group,Pensionsfonds und Versicherung Peergroup,Fonds de pension et assurances grupo de pares,Fondos de pensiones groupe de pairs
techexposure_data,portfolio_name,Banks and Asset Managers,Banks and Asset Managers Peer Group,Banken und Vermögensverwalter Peergroup,Banques et gestionnaires d'actifs grupo de pares,Bancos y administradores de activos groupe de pairs
techexposure_data,portfolio_name,multimercado_alocacao,Multimercado Alocacao,Multimercado Alocacao,Multimercado Alocacao,Multimercado Alocacao
techexposure_data,portfolio_name,multimercado_estrategia,Multimercado Estrategia,Multimercado Estrategia,Multimercado Estrategia,Multimercado Estrategia
techexposure_data,portfolio_name,outros,Outros,Outros,Outros,Outros
techexposure_data,portfolio_name,renda_fixa_credito_privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado
techexposure_data,portfolio_name,acoes_indexados,Acoes Indexados,Acoes Indexados,Acoes Indexados,Acoes Indexados
techexposure_data,portfolio_name,acoes_esg,Acoes ESG,Acoes ESG,Acoes ESG,Acoes ESG
techexposure_data,portfolio_name,acoes_ativos,Acoes Ativos,Acoes Ativos,Acoes Ativos,Acoes Ativos
techexposure_future_data,asset_class,Corporate Bonds,Corporate Bonds,Unternehmensanleihen,Obligations d'entreprises,Bonos corporativos
techexposure_future_data,asset_class,Listed Equity,Listed Equity,Aktien,Actions,Acciones
techexposure_future_data,equity_market,Global Market,Global Market,Globaler Markt,Marché mondial,Mercado Global
techexposure_future_data,equity_market,Developed Market,Developed Market,Entwickelter Markt,Marché développé,Mercado Desarrollado
techexposure_future_data,equity_market,Emerging Market,Emerging Market,Aufstrebender Markt,Marché émergent,Mercado Emergente
techexposure_future_data,ald_sector,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
techexposure_future_data,ald_sector,Fossil Fuels,Fossil Fuels,Fossile Brennstoffe,Combustibles fossiles,Combustibles fósiles
techexposure_future_data,ald_sector,Power,Power,Energie,Energie,Energía
techexposure_future_data,technology,RenewablesCap,Renewables,Erneuerbare Energien,Energie renouvelable,Energías Renovables
techexposure_future_data,technology,HydroCap,Hydropower,Wasserkraft,Energie hydraulique,Energía hidroeléctrica
techexposure_future_data,technology,NuclearCap,Nuclear Power,Kernenergie,Energie nucléaire,Energía nuclear
techexposure_future_data,technology,GasCap,Gas Power,Gaskraft,Energie à base de gaz,Energía a base de gas
techexposure_future_data,technology,OilCap,Oil Power,Öl-Power,Energie à base de pétrole,Energía a base de petróleo
techexposure_future_data,technology,CoalCap,Coal Power,Kohlekraft,Energie à base de charbon,Energía a base de carbón
techexposure_future_data,technology,Electric,LDV: Electric,LDV: Elektrische,LDV: Électrique,VL: Vehículos eléctricos
techexposure_future_data,technology,Hybrid,LDV: Hybrid,LDV: Hybrid,LDV: Hybride,VL: Vehículos híbridos
techexposure_future_data,technology,FuelCell,LDV: Fuel Cell,LDV: Brennstoffzellen,LDV: Pile à combustible,VL: Vehículos de pilas de combustibles
techexposure_future_data,technology,ICE,LDV: ICE,LDV: Verbrennungsmotor,LDV: Moteur à combustion,VL: Vehículos de combustión interna
techexposure_future_data,technology,Oil,Oil,Öl,Pétrole,Petróleo
techexposure_future_data,technology,Gas,Gas,Gas,Gaz,Gas
techexposure_future_data,technology,Electric_HDV,HDV: Electric,HDV: Elektrisches,HDV: électrique,VP: Vehículos eléctricos
techexposure_future_data,technology,FuelCell_HDV,HDV: Fuel Cell,HDV: Brennstoffzellen,HDV: Pile à combustible,VP: Vehículos de pilas de combustibles
techexposure_future_data,technology,Hybrid_HDV,HDV: Hybrid,HDV: Hybridantrieb,HDV: Hybride,VP: Vehículos híbridos
techexposure_future_data,technology,ICE_HDV,HDV: ICE,HDV: Verbrennungsmotor,HDV: Moteur à combustion,VP: Vehículos de combustión interna
techexposure_future_data,technology,Coal,Coal,Kohle,Charbon,Carbón
techexposure_future_data,technology,Freight,Freight,Fracht,Fret,Carga
techexposure_future_data,technology,Passenger,Passenger,Passagier,Passager,Pasajero
techexposure_future_data,technology,Mix,Mix,Mischen,Mix,Mixto
techexposure_future_data,val_type,Portfolio,Portfolio,Portfolio,Portefeuille,Portafolio
techexposure_future_data,val_type,Aligned Portfolio,Aligned Portfolio,Ausgerichtetes Portfolio,Portefeuille aligné,Portafolio alineado
techexposure_future_data,val_type,Aligned Benchmark,Aligned Benchmark,Ausgerichteter Benchmark,Référence aligné,Portafolio de referencia alineado
techexposure_future_data,val_type,Benchmark,Benchmark,Benchmark,Référence,Portafolio de referencia
techexposure_future_data,portfolio_name,pensionfund,Pension Fund Peer Group,Pensionsfonds Peergroup,Fonds de pensiongrupo de pares,Fondos de pensiones groupe de pairs
techexposure_future_data,portfolio_name,assetmanager,Asset Manager Peer Group,Vermögensverwalter Peergroup,Gestionnaire d'actifs grupo de pares,Administrador de activos groupe de pairs
techexposure_future_data,portfolio_name,bank,Banking Peer Group,Bankwesen Peergroup,Banque grupo de pares,Banca groupe de pairs
techexposure_future_data,portfolio_name,insurance,Insurance Peer Group,Versicherung Peergroup,Assurance grupo de pares,Aseguradoras groupe de pairs
techexposure_future_data,portfolio_name,Meta Investor,Meta Investor Peer Group,Meta-Investor Peergroup,Méta-investisseur grupo de pares,Meta Inversionista groupe de pairs
techexposure_future_data,portfolio_name,Others,Others Peer Group,Anderen Peergroup,Autres grupo de pares,Otros groupe de pairs
techexposure_future_data,portfolio_name,Pension Funds and Insurances,Pension Funds and Insurances Peer Group,Pensionsfonds und Versicherung Peergroup,Fonds de pension et assurances grupo de pares,Fondos de pensiones groupe de pairs
techexposure_future_data,portfolio_name,Banks and Asset Managers,Banks and Asset Managers Peer Group,Banken und Vermögensverwalter Peergroup,Banques et gestionnaires d'actifs grupo de pares,Bancos y administradores de activos groupe de pairs
techexposure_future_data,portfolio_name,multimercado_alocacao,Multimercado Alocacao,Multimercado Alocacao,Multimercado Alocacao,Multimercado Alocacao
techexposure_future_data,portfolio_name,multimercado_estrategia,Multimercado Estrategia,Multimercado Estrategia,Multimercado Estrategia,Multimercado Estrategia
techexposure_future_data,portfolio_name,outros,Outros,Outros,Outros,Outros
techexposure_future_data,portfolio_name,renda_fixa_credito_privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado,Renda Fixa Credito Privado
techexposure_future_data,portfolio_name,acoes_indexados,Acoes Indexados,Acoes Indexados,Acoes Indexados,Acoes Indexados
techexposure_future_data,portfolio_name,acoes_esg,Acoes ESG,Acoes ESG,Acoes ESG,Acoes ESG
techexposure_future_data,portfolio_name,acoes_ativos,Acoes Ativos,Acoes Ativos,Acoes Ativos,Acoes Ativos
data_map,asset_class,Corporate Bonds,Corporate Bonds,Unternehmensanleihen,Obligations d'entreprises,Bonos corporativos
data_map,asset_class,Listed Equity,Listed Equity,Aktien,Actions,Acciones
data_map,option,Gas,Gas,Gas,Gaz,Gas
data_map,option,Oil,Oil,Öl,Pétrole,Petróleo
data_map,option,All Power,All Power,Alle Energie,Tout Energie,Toda la generación de energía
data_map,option,HydroCap,Hydropower,Wasserkraft,Energie hydraulique,Energía hidroeléctrica
data_map,option,GasCap,Gas Power,Gaskraft,Energie à base de gaz,Energía a base de gas
data_map,option,RenewablesCap,Renewables,Erneuerbare Energien,Energie renouvelable,Energías Renovables
data_map,option,All Automotive,All Automotive,Alle Automobilindustrie,Tous les secteurs de l'automobile,Todo el sector automotriz
data_map,option,ICE,LDV: ICE,LDV: Verbrennungsmotor,LDV: Moteur à combustion,VL: Vehículos de combustión interna
data_map,option,Hybrid,LDV: Hybrid,LDV: Hybrid,LDV: Hybride,VL: Vehículos híbridos
data_map,option,CoalCap,Coal Power,Kohlekraft,Energie à base de charbon,Energía a base de carbón
data_map,option,OilCap,Oil Power,Öl-Power,Energie à base de pétrole,Energía a base de petróleo
data_map,option,Electric,LDV: Electric,LDV: Elektrische,LDV: Électrique,VL: Vehículos eléctricos
data_map,option,FuelCell_HDV,HDV: Fuel Cell,HDV: Brennstoffzellen,HDV: Pile à combustible,VP: Vehículos de pilas de combustibles
data_map,option,ICE_HDV,HDV: ICE,HDV: Verbrennungsmotor Fahrzeuge,HDV: Moteur à combustion,VP: Vehículos de combustión interna
data_map,option,FuelCell,LDV: Fuel Cell,LDV: Brennstoffzellen,LDV: Pile à combustible,VL: Vehículos de pilas de combustibles
data_map,option,Electric_HDV,HDV: Electric,HDV: Elektrische Fahrzeuge,HDV: Électrique,VP: Vehículos eléctricos
data_map,option,Hybrid_HDV,HDV: Hybrid,HDV: Hybrid Fahrzeuge,HDV: Hybride,VP: Vehículos híbridos
data_map,option,Coal,Coal,Kohle,Charbon,Carbón
data_map,option,NuclearCap,Nuclear Power,Kernenergie,Energie nucléaire,Energía nuclear
data_map,option,Oil and Condensate,Oil and Condensate,Öl und Kondensat,Pétrole et condensats,Petróleo y condensados
data_map,option,All Coal,All Coal,Alle Kohle,Tout le charbon,Todo el carbón
data_map,option,Metallurgical,Metallurgical,Metallurgische Kohle,Métallurgie,Metalúrgico
data_map,option,Thermal,Thermal,Thermische Kohle,Thermique,Termal
data_map,option,Thermal & Metallurgical,Thermal & Metallurgical,Thermische und Metallurgische Kohle,Thermique et métallurgique,Termal y metalúrgico
data_map,option,Aviation,Aviation,Luftfahrt,Aviation,Aviación
